citation,topic,habitat_type,habitat_subtype,habitat_depth,assemblage_type,species_name_scientific,species_name_common,geographic_region,ecological_fitness_metric,climate_effect,mpa_effect,analytical method,name_of_mpa,Coordinates,Latitude,Longitude,magnitude,mechanism
"Alonso Aller, E., Jiddawi, N. S., & Eklöf, J. S. (2017). Marine protected areas increase temporal stability of community structure, but not density or diversity, of tropical seagrass fish communities. PLoS One, 12(8), e0183999.",assemblage,tropical,seagrass,,all_fish,na,na,western_indo_pacific,density,mortality,no_effect,inside/outside study,Zanzibar (muliple sites),"-6.10798921828292, 39.19526869423181",-6.107989218,39.19526869,,
"Alonso Aller, E., Jiddawi, N. S., & Eklöf, J. S. (2017). Marine protected areas increase temporal stability of community structure, but not density or diversity, of tropical seagrass fish communities. PLoS One, 12(8), e0183999.",assemblage,tropical,seagrass,,all_fish,na,na,western_indo_pacific,diversity,mortality,no_effect,inside/outside study,Zanzibar (muliple sites),"-6.10798921828292, 39.19526869423181",-6.107989218,39.19526869,,
"Alonso Aller, E., Jiddawi, N. S., & Eklöf, J. S. (2017). Marine protected areas increase temporal stability of community structure, but not density or diversity, of tropical seagrass fish communities. PLoS One, 12(8), e0183999.",assemblage,tropical,seagrass,,all_fish,na,na,western_indo_pacific,community_structure,mortality,no_effect,inside/outside study,Zanzibar (muliple sites),"-6.10798921828292, 39.19526869423181",-6.107989218,39.19526869,,
"Alonso Aller, E., Jiddawi, N. S., & Eklöf, J. S. (2017). Marine protected areas increase temporal stability of community structure, but not density or diversity, of tropical seagrass fish communities. PLoS One, 12(8), e0183999.",assemblage,tropical,seagrass,,adult_fish,na,na,western_indo_pacific,community_structure,mortality,positive_ecosystem,inside/outside study,Zanzibar (muliple sites),"-6.10798921828292, 39.19526869423181",-6.107989218,39.19526869,,
"Alonso Aller, E., Jiddawi, N. S., & Eklöf, J. S. (2017). Marine protected areas increase temporal stability of community structure, but not density or diversity, of tropical seagrass fish communities. PLoS One, 12(8), e0183999.",assemblage,tropical,seagrass,,subadult_fish,na,na,western_indo_pacific,community_structure,mortality,no_effect,inside/outside study,Zanzibar (muliple sites),"-6.10798921828292, 39.19526869423181",-6.107989218,39.19526869,,
"Alonso Aller, E., Jiddawi, N. S., & Eklöf, J. S. (2017). Marine protected areas increase temporal stability of community structure, but not density or diversity, of tropical seagrass fish communities. PLoS One, 12(8), e0183999.",assemblage,tropical,seagrass,,juvenille_fish,na,na,western_indo_pacific,density,reproduction,positive_ecosystem,inside/outside study,Zanzibar (muliple sites),"-6.10798921828292, 39.19526869423181",-6.107989218,39.19526869,,"""In general, juvenile fish benefitted more from protection than other life stages, exhibiting higher stability within MPAs than subadult and adult fish. This pattern appeared to be mainly driven by parrotfish (Scaridae), which seemed to recruit to seagrass beds in MPAs throughout all three seasons (accounting for about 50% of the total juvenile fish community)"""
"Alonso Aller, E., Jiddawi, N. S., & Eklöf, J. S. (2017). Marine protected areas increase temporal stability of community structure, but not density or diversity, of tropical seagrass fish communities. PLoS One, 12(8), e0183999.",assemblage,tropical,seagrass,,juvenille_fish,na,na,western_indo_pacific,community_structure,reproduction,positive_ecosystem,inside/outside study,Zanzibar (muliple sites),"-6.10798921828292, 39.19526869423181",-6.107989218,39.19526869,,
"Alvarez-Filip, Lorenzo, et al. ""Drivers of region-wide declines in architectural complexity on Caribbean reefs."" Coral reefs 30 (2011): 1051-1060.",assemblage,tropical,coral_reef,,coral,na,na,tropical_atlantic,coral_rugosity,habitat_formation,negative_ecosystem,meta-analysis,"Caribean, multiple","19.866227090911945, -74.9282619613728",19.86622709,-74.92826196,"""The most rapid rates of decline in rugosity occurred at sites that were impacted only during their survey period, while considerably lower rates of decline were recorded at sites that were impacted both before and during their survey period."" - for hurricane impacts

Rate of decline higher in MPAs, but could just be that they started from a higher point","hurricanes cause immediate direct damage. found minimal effect of bleaching, but didn't report clear results on bleaching effects"
"Amid, C., et al. ""Additive effects of the herbicide glyphosate and elevated temperature on the branched coral Acropora formosa in Nha Trang, Vietnam."" Environmental Science and Pollution Research 25 (2018): 13360-13372.",species,na,na,,na,Acropora formosa,tropical staghorn coral,central_indo_pacific,coral_bleaching,habitat_formation,negative_population,experiment,"Nha Trang bay, Vietnam","12.181965347773822, 109.2721559676836",12.18196535,109.272156,,"These results suggest that the corals in Nha Trang bay have adapted to the ongoing pollution to become more tolerant to anthropogenic stressors, and that multiple stressors hamper this resilience."
"Balemi, Celia A., and Nick T. Shears. ""Emergence of the subtropical sea urchin Centrostephanus rodgersii as a threat to kelp forest ecosystems in northern New Zealand."" Frontiers in Marine Science 10 (2023): 1224067.",species,na,kelp_forest,,na,Centrostephanus rodgersii,long-spined sea urchin,temperate_autralasia,density,movement_range,no_effect,inside/outside study,Poor Knights Islands Marine Reserve,"-35.723588, 174.937622",-35.723588,174.937622,,absence of necessary predator for invasive urchin species
