assemblage_type,grouped_assemblage_highest,grouped_assemblage_medium,target_fish
all_fish,fish,fish,fish
adult_fish,fish,adult_fish,fish
subadult_fish,fish,subadult_fish,fish
juvenille_fish,fish,juvenille_fish,fish
coral,coral,coral,coral
na,na,na,na
cool-water_kelp,kelp,cool-water_kelp,kelp
cool-water_invertebrates,invertebrates,cool-water_invertebrates,invertebrates
cool-water_fish,fish,cool-water_fish,fish
sessile_invertebrates,invertebrates,invertebrates,invertebrates
piscivorous_fish,fish,fish,fish
mobile_invertebrates,invertebrates,invertebrates,invertebrates
herbivorous_fish,fish,fish,fish
planktivores,fish,fish,fish
benthic_invertivore,fish,fish,fish
thermally_resistant_carnivores,fish,thermally_resistant_fish,fish
thermally_resistant_grazers,fish,thermally_resistant_fish,fish
thermally_resistant_microphages,fish,thermally_resistant_fish,fish
thermally_resistant_planktivores,fish,thermally_resistant_fish,fish
thermally_sensitive_carnivores,fish,thermally_resistant_fish,fish
thermally_sensitive_grazers,fish,thermally_resistant_fish,fish
thermally_sensitive_microphages,fish,thermally_resistant_fish,fish
thermally_sensitive_planktivores,fish,thermally_resistant_fish,fish
target_herbivores,fish,target_fish,target_fish
hard_coral,coral,coral,coral
all_fish_excluding_herbivores,fish,fish,fish
macroinvertebrates,invertebrates,invertebrates,invertebrates
benthic,benthic,benthic,benthic
non-target_fish,fish,non-target_fish,non-target_fish
warm-water_target_fish,fish,warm-water_target_fish,target_fish
warm-water_non-target_fish,fish,warm-water_non-target_fish,non-target_fish
cool-water_target_fish,fish,cool-water_target_fish,target_fish
cool-water_non-target_fish,fish,cool-water_non-target_fish,non-target_fish
target_fish,fish,target_fish,target_fish
exotic_species,fish,fish,fish
alien_and_range_expanding_fishes,fish,fish,fish
corallivores,fish,fish,fish
adult_coral,coral,adult_coral,coral
juvenille_coral,coral,juvenille_coral,coral
herbivorous_sea_urchin,invertebrates,sea_urchin,invertebrates
demersal_carnivorous-omnivorous_fishes,fish,fish,fish
wrasse,fish,fish,fish
sea_urchins,invertebrates,sea_urchin,invertebrates
fin_fish,fish,fish,fish
generalist_large_predators,fish,fish,fish
large_benthic_foragers,fish,fish,fish
croppers,fish,fish,fish
detrivores,fish,fish,fish
excavators,fish,fish,fish
scrapers,fish,fish,fish
sand_feeders,fish,fish,fish
small_benthic_foragers,fish,fish,fish
obligate_corallivores,fish,fish,fish
omnivorous_pomacentrids,fish,fish,fish
large_planktivores,fish,fish,fish
small_planktivores,fish,fish,fish
target_piscivorous_fish,fish,target_fish,target_fish
prey_species,fish,fish,fish
algal_croppers,fish,fish,fish
turf_croppers,fish,fish,fish
macro-algal_browsers,fish,fish,fish
warm-water_kelp,kelp,warm-water_kelp,kelp
warm-water_invertebrates,invertebrates,invertebrates,invertebrates
warm-water_fish,fish,warm-water_fish,fish
coral-associated_algae,coral-associated_algae,coral-associated_algae,coral-associated_algae
