assemblage_type,grouped_assemblage_highest
all_fish,fish
adult_fish,fish
subadult_fish,fish
juvenille_fish,fish
coral,coral
na,na
cool-water_kelp,kelp
cool-water_invertebrates,invertebrates
cool-water_fish,fish
sessile_invertebrates,invertebrates
piscivorous_fish,fish
mobile_invertebrates,invertebrates
herbivorous_fish,fish
planktivores,fish
benthic_invertivore,fish
thermally_resistant_carnivores,fish
thermally_resistant_grazers,fish
thermally_resistant_microphages,fish
thermally_resistant_planktivores,fish
thermally_sensitive_carnivores,fish
thermally_sensitive_grazers,fish
thermally_sensitive_microphages,fish
thermally_sensitive_planktivores,fish
target_herbivores,fish
hard_coral,coral
all_fish_excluding_herbivores,fish
macroinvertebrates,invertebrates
benthic,benthic
non-target_fish,fish
warm-water_target_fish,fish
warm-water_non-target_fish,fish
cool-water_target_fish,fish
cool-water_non-target_fish,fish
target_fish,fish
exotic_species,fish
alien_and_range_expanding_fishes,fish
corallivores,fish
adult_coral,coral
juvenille_coral,coral
herbivorous_sea_urchin,invertebrates
demersal_carnivorous-omnivorous_fishes,fish
wrasse,fish
sea_urchins,invertebrates
fin_fish,fish
generalist_large_predators,fish
large_benthic_foragers,fish
croppers,fish
detrivores,fish
excavators,fish
scrapers,fish
sand_feeders,fish
small_benthic_foragers,fish
obligate_corallivores,fish
omnivorous_pomacentrids,fish
large_planktivores,fish
small_planktivores,fish
target_piscivorous_fish,fish
prey_species,fish
algal_croppers,fish
turf_croppers,fish
macro-algal_browsers,fish
warm-water_kelp,kelp
warm-water_invertebrates,invertebrates
warm-water_fish,fish
coral-associated_algae,coral-associated_algae
