ecological_fitness_metric,grouped_metric
density,density
diversity,diversity
community_structure,community_structure
coral_rugosity,coral_rugosity
coral_bleaching,coral_bleaching
abundance,density
biomass,biomass
benthic_cover,benthic_cover
richness,diversity
abundance-weighted_species_diversity,diversity
biomass-weighted_species_diversity,diversity
abundance-weighted_functional_diversity,diversity
biomass-weighted_functional_diversity,diversity
mean_species_richness,diversity
functional_richness,diversity
proportion_herbivores,community_structure
maximum_length,body_size
alpha_stability,stability
species_stability,stability
species_asynchrony,asynchrony
stability,stability
asynchrony,asynchrony
body_size,body_size
coral_cover,coral_cover
macroalgal_cover,macroalgal_cover
disease_presence,disease_presence
metabolic_rate,metabolic_rate
community_composition,community_structure
recruitment,recruitment
climatic_affinity,climatic_affinity
size_structure,size_structure
survival,survival
predation_strength,trophic_connections
herbivory,trophic_connections
predation,trophic_connections
colony_shrinkage_rate,colony_shrinkage_rate
mortality,mortality
structural_integrity,structural_integrity
genetic_diversity,diversity
disease_presence_SEB,disease_presence
disease_presence_BrB,disease_presence
disease_presence_GAs,disease_presence
bleaching_prevalence,coral_bleaching
urchin_barren_presence,urchin_barren_presence
recovery_index,recovery_index
NA,NA
competition_strength,trophic_connections
prey_species_synchrony,trophic_connections
trophic_network_temporal_stability,trophic_connections
taxonomic_diversity,diversity
functional_diversity,diversity
evenness,diversity
